,mean,sd,q5,q95
Pikachu,0.04172762934353254,0.20783912835714924,-0.30634143280043474,0.3767463064721335
Glalie,0.04097437760461668,0.2391738630349342,-0.35336274157964603,0.45221593305441965
Simisear,0.0408192366039588,0.24113951482806936,-0.3498463072031163,0.43853153331864975
Annihilape,0.03891255933711352,0.09502413637541988,-0.1199442243741216,0.19668105572501715
Skeledirge,0.0386303517601455,0.1988132817533232,-0.2881021901019846,0.3695522535111938
Hisuian Typhlosion,0.03852378062815532,0.1340079330713807,-0.18216006864668563,0.2674027048887388
Hisuian Goodra,0.03833224534778042,0.22875677703898006,-0.3298062689872573,0.42205591561358047
Pinsir,0.037983170045703084,0.22991719229504712,-0.3448007952825057,0.4286243522749851
Toucannon,0.03752547930577244,0.232902639128096,-0.34306474035841467,0.4263587170941704
Krookodile,0.03580575356118115,0.22867993815544296,-0.344932323787339,0.4167473108758245
Gholdengo,0.03450749624936982,0.05933117359919275,-0.0626872461137271,0.130891071205464
Barbaracle,0.033473300100686984,0.17514402718203334,-0.2520078810480163,0.3281889368743918
Incineroar,0.03238281523606398,0.04745272672594844,-0.0463480772684469,0.11340661856711605
Noivern,0.032212653660582645,0.21283612146783068,-0.3202948643175322,0.384303439688095
Drampa,0.0313928109413662,0.16837014658970884,-0.2327587273230384,0.30117366120655503
Ariados,0.029163083950065213,0.23491266615206277,-0.3662327929915697,0.4125151270000788
Hippowdon,0.02826730771106457,0.20500405949285844,-0.2994953671947743,0.35388431251122077
Lucario,0.02674837285334024,0.16276660056438486,-0.24604092038365846,0.2955289822811513
Beedrill,0.025968122762503265,0.21827975962850096,-0.32068735909972695,0.37941333959484064
Garchomp,0.02571773321745626,0.05827253060159011,-0.0723555885401332,0.12132859397911706
Banette,0.025238822160475648,0.2322904533617609,-0.3587111554842635,0.42798246427598347
Galarian Slowking,0.024069767861022457,0.20058101846827345,-0.29567460917013766,0.355233425579993
Hydrapple,0.023618152780399904,0.18701968302449945,-0.27617010521074786,0.34054585078408034
