species_1,species_2,n,mean,q5,q95,robust
Alolan Ninetales,Dragonite,34,0.02066423939245441,-0.06408589619843316,0.11733478280540106,False
Gengar,Hawlucha,10,0.020556111603291054,-0.08953142831759904,0.146604641269381,False
Aerodactyl,Pelipper,18,0.02046257022613239,-0.05723331397201239,0.10826090220905935,False
Eternal Flower Floette,Kangaskhan,7,0.02038480080175134,-0.08084836289860155,0.13298031827992063,False
Mamoswine,Toxapex,29,0.020306639947578083,-0.06326136808311544,0.11906130476536167,False
Aerodactyl,Kommo-o,16,0.020129678657192396,-0.06147307350739309,0.11959161252128664,False
Sylveon,Vileplume,46,0.020124111866184645,-0.05460564625147526,0.10387854893820227,False
Sneasler,Volcarona,5,0.020099470230125097,-0.07410249194530215,0.12470394976475593,False
Grimmsnarl,Scovillain,33,0.020056785397793632,-0.08089618638514609,0.12806965351133018,False
Ceruledge,Gyarados,8,0.020056382481592343,-0.07162085674225327,0.11990591641695714,False
Delphox,Kingambit,221,0.01999908060655878,-0.06018635627237582,0.10359298221385473,False
Ceruledge,Floette,8,0.019989367867521673,-0.06228295968749525,0.11989698264056999,False
Malamar,Sylveon,6,0.019983240045286167,-0.06580007761763737,0.1141189589413973,False
Metagross,Venusaur,31,0.019965476694567195,-0.03287043979990701,0.08665501202786643,False
Sinistcha,Wash Rotom,91,0.019925605104564804,-0.07451945226800591,0.11646820406767,False
Dragonite,Eternal Flower Floette,10,0.019767475156954258,-0.06583895062724424,0.11731226731364282,False
Kommo-o,Vileplume,9,0.01974453831845296,-0.06373266484250315,0.1176749042975471,False
Gholdengo,Toxapex,12,0.01974284553296647,-0.08487341872441423,0.1312418888571624,False
Garchomp,Hisuian Typhlosion,37,0.01971270559527697,-0.06187101758947928,0.11126543604640866,False
Farigiraf,Hisuian Zoroark,5,0.01969910514561516,-0.07345294445185353,0.12737335484334555,False
Archaludon,Metagross,331,0.019658170661937556,-0.04624985814657009,0.09134054581143777,False
Farigiraf,Mawile,384,0.019588558630233063,-0.06015989463806354,0.09861955566511148,False
Eternal Flower Floette,Raichu,79,0.01954558995179383,-0.06598229943959119,0.11733355191197621,False
Raichu,Torkoal,6,0.019520509356946082,-0.06027005053086027,0.1131605054132063,False
Alolan Ninetales,Chandelure,5,0.019517186689805514,-0.08461709663191974,0.1307514182424257,False
Clefable,Eelektross,7,0.019443312854468656,-0.06977431162906882,0.12580152642386788,False
Abomasnow,Farigiraf,15,0.019396714086262583,-0.07742446323223098,0.12273943700764157,False
Alolan Ninetales,Sneasler,72,0.019360932233248817,-0.06360258093379634,0.10663696760413106,False
Archaludon,Venusaur,170,0.01930253178563362,-0.05097924697429143,0.09675465108730663,False
Garchomp,Meowscarada,26,0.019286502522986713,-0.0640800830405028,0.11340687187727674,False
Farigiraf,Kleavor,9,0.01926351997739474,-0.07697579335343678,0.12499075955531944,False
Hisuian Typhlosion,Torkoal,10,0.019208892475937794,-0.0662362794272923,0.11685974668426873,False
Alolan Ninetales,Gyarados,5,0.019141016890038564,-0.08005802086563274,0.125735059762837,False
Aerodactyl,Pyroar,21,0.019091123585148785,-0.06657770088538799,0.10901886243273277,False
Charizard,Meowscarada,14,0.018971275935691076,-0.07758622910194314,0.12896239595148665,False
Garchomp,Hisuian Samurott,34,0.01896670079484366,-0.06277392233135089,0.11044372594046878,False
Milotic,Staraptor,38,0.018943230980549012,-0.04760523515556605,0.09835046385304619,False
Gyarados,Whimsicott,15,0.018861467044942893,-0.056515084912859795,0.10080371221251878,False
Mawile,Torkoal,190,0.018794349053756418,-0.05932317101530137,0.10067967582712979,False
Blastoise,Staraptor,14,0.01877987534628109,-0.052599052535524195,0.10514776633173484,False
Delphox,Sableye,12,0.018658813809893208,-0.07542953483585965,0.12241687302822482,False
Corviknight,Whimsicott,17,0.01858003603149504,-0.053314069396278495,0.10013167085098701,False
Annihilape,Mawile,12,0.018578101426031,-0.07188212114564739,0.12123311662218124,False
Excadrill,Staraptor,41,0.01841967499410313,-0.04945213417596744,0.09846761846194821,False
Gengar,Maushold,13,0.018401885687083678,-0.08205638342906797,0.1272188291447164,False
Swampert,Sylveon,54,0.018366628189847613,-0.05953725720678742,0.10298425523289038,False
Houndstone,Wash Rotom,23,0.01821262326069851,-0.06741364104362765,0.11479051354358956,False
Sinistcha,Volcarona,10,0.01819254495659814,-0.08741948873726844,0.1302506535728053,False
Camerupt,Farigiraf,41,0.018154219229858572,-0.08002667934529553,0.11847174711703416,False
Hydreigon,Toxapex,119,0.01807802410285432,-0.0707690057057974,0.11243664918401286,False
Sinistcha,Weavile,14,0.018029714842565922,-0.08721223226061886,0.1296761916483885,False
Farigiraf,Vileplume,155,0.017858449735781042,-0.06175029064543202,0.10691844789376675,False
Aerodactyl,Charizard,512,0.01783154270656884,-0.05575080025691552,0.08794639531779869,False
Armarouge,Kingambit,7,0.01780809558119787,-0.0856306428866754,0.13658618869013978,False
