,mean,q5,q95,robust
Fell Stinger,0.013738012683746281,-0.11312245038537881,0.14317507446793612,False
Morning Sun,0.0136074248461178,-0.11380332130531803,0.14174233335155814,False
Leaf Blade,0.012801306632932614,-0.09965960191266164,0.12380194474223327,False
Mud Shot,0.012066457796691674,-0.11801560830136523,0.14485339189676227,False
Moonlight,0.011691734919268275,-0.11022250861460516,0.13298561013176904,False
Skill Swap,0.011606129415308806,-0.10855846397298517,0.12788564103023756,False
Scald,0.011536757993678464,-0.09491952333825085,0.12523437313407754,False
Diamond Storm,0.011245171369523299,-0.10996944223903068,0.13623823017619066,False
Clear Smog,0.011211373031147,-0.11690786440030256,0.1382823715191491,False
Submission,0.011130573836052218,-0.11655869125591466,0.14102038680511686,False
Extreme Speed,0.010999481687255997,-0.09335525427165019,0.11626153128359984,False
Simple Beam,0.010982040143529947,-0.12050818327597335,0.14175987241870516,False
Memento,0.010962651703726447,-0.11883899055248992,0.14055194419389078,False
Hail,0.010091787165600363,-0.11294940894932762,0.1331749011309374,False
body fang,0.009792339190388038,-0.1152143459326087,0.13587620811292803,False
Beak Blast,0.009713310763726455,-0.12245753521340312,0.14158276312663265,False
Misty Terrain,0.00929432221584774,-0.11509141902490803,0.13583150542923775,False
Cotton Guard,0.009203113914227751,-0.11209590157317811,0.13081243242471713,False
Safeguard,0.009123969337360144,-0.11387175518248532,0.1347802883327112,False
Metal Sound,0.00874099859569624,-0.11676037737065392,0.13811703779950674,False
Torch Song,0.008280889164279319,-0.11023018020714047,0.13361987837962397,False
Apple Acid,0.008200671631087482,-0.1149066910956463,0.13116816473609832,False
No Retreat,0.0077531857410560075,-0.113259590755936,0.13068440468335732,False
Barb Barrage,0.007588985103970642,-0.12039038532513754,0.13125331159656925,False
Triple Arrows,0.007467835643684407,-0.1179858675872412,0.1352621565642242,False
Salt Cure,0.006709551499107275,-0.12140006403182192,0.13331075470167156,False
Decorate,0.006608357876112455,-0.11906778605910838,0.1313660055563451,False
Imprison,0.006496769669320379,-0.0942701225326026,0.11150328836601993,False
Heat Crash,0.006466725507407139,-0.11541173382246987,0.12852779832655667,False
Tidy Up,0.006458367913840047,-0.11526302271364403,0.13061721983275404,False
Hydro Cannon,0.0062952590934387456,-0.12379485175466388,0.1391241719693337,False
Shelter,0.006086260877113983,-0.12062501666593102,0.13334401578787028,False
Grassy Terrain,0.006004365754120008,-0.11742445684143984,0.13145065851882576,False
Last Resort,0.005905733238022331,-0.11207443140597684,0.12286580807721145,False
Scary Face,0.0058660464807707815,-0.10253635356418747,0.11470698556505562,False
Circle Throw,0.005796896544896571,-0.12012823413239032,0.13809955839251717,False
Magic Powder,0.0053633110249294725,-0.12062082864667463,0.13208031188913338,False
Clanging Scales,0.0053578546644331,-0.11320718693193546,0.12156488684602233,False
Trick Room,0.005136610625402582,-0.05830153228846195,0.06922559536454015,False
Megahorn,0.004869998681490509,-0.12042119928833513,0.13256846702459524,False
Amnesia,0.004749358403285179,-0.11711995047709951,0.12538217444231223,False
Rock Blast,0.004707406312447164,-0.1209107387249861,0.13067567277972322,False
Bitter Malice,0.0046476528313875946,-0.11810065557708593,0.12442428700512699,False
Wild Charge,0.004634062058859509,-0.12202876075614551,0.12957400509293532,False
Screech,0.004619593783028688,-0.12143014089878286,0.13593829261677778,False
Toxic,0.004559357942331397,-0.10635213563292627,0.11922142045181995,False
Instruct,0.004468782611579105,-0.11271342241277867,0.11718081323987979,False
Infestation,0.004389786765809844,-0.11101478549781467,0.1200414999008483,False
Thief,0.004384239504759692,-0.11931572106851028,0.13318430263679812,False
Thunder Punch,0.004320435182557807,-0.09941672421606015,0.1107298113176729,False
Vacuum Wave,0.004256275495256986,-0.11725309140393282,0.12747678665202009,False
Curse,0.004106769865543298,-0.11676844315534074,0.1280276132928377,False
Frenzy Plant,0.00402249006565791,-0.1264313920656086,0.12977097813774263,False
Howl,0.003980582036419671,-0.1172063942728025,0.12475077992927723,False
Stored Power,0.003852699019119558,-0.11721298385925515,0.1271873123961517,False
Slack Off,0.0036001246206763217,-0.11880192728333583,0.12568081259070063,False
Matcha Gotcha,0.0035101108584712033,-0.10316622986594454,0.11279082979689385,False
Roost,0.003201951054196731,-0.09030656259978492,0.09746988680003091,False
Fire Punch,0.003177292650822122,-0.12146455613238315,0.1271078902644155,False
Mega Kick,0.0030299575965421917,-0.12905558415088997,0.13354728521111597,False
Ice Ball,0.002938129029716521,-0.12186580774136828,0.12664686577195977,False
Dragon Cheer,0.0026971584157070407,-0.12276363120442041,0.13069760934349456,False
Cotton Spore,0.002578055937808916,-0.11535011356106882,0.12361529020702647,False
Thunder Fang,0.0025074967704869703,-0.12369411728287087,0.13050426436848464,False
Lava Plume,0.0023968986761287747,-0.12133660292894709,0.12305958873742957,False
Confuse Ray,0.002246763493671185,-0.12727464986533182,0.12713760031946017,False
Strength Sap,0.0022134837078018822,-0.0953515461754257,0.09772497127895542,False
Reversal,0.0021202866735398804,-0.12246203979443497,0.12458428840426952,False
Explosion,0.0018633226999128295,-0.12287242824725149,0.13008218748866726,False
Self-Destruct,0.0018371131381165562,-0.1228662048157604,0.12680589023674468,False
Cross Chop,0.0017263425041152008,-0.12417790808783039,0.1311486701809894,False
Stun Spore,0.0016203246553931844,-0.12808045506430701,0.13086350299224647,False
Accelerock,0.0014825015960534208,-0.11210660720380956,0.11925786990746357,False
Iron Tail,0.0011986207862318173,-0.1244033146491319,0.12654317212670335,False
Whirlwind,0.0011423489173465447,-0.11699521738553523,0.12040933955012943,False
Bone Rush,0.0009498341915801181,-0.12431802016700197,0.12714884537970497,False
Role Play,0.0005060181127407342,-0.125603565642437,0.13001687229004236,False
Charge,0.00048757857995551207,-0.13112584597388657,0.13019213132243368,False
Shell Side Arm,0.00024664395903259645,-0.12874433038467484,0.1291676928404335,False
Grav Apple,0.00024091100977144102,-0.1313268810139766,0.1328176767609267,False
Storm Throw,0.0002105114645502562,-0.12362158429915164,0.12816583687596442,False
Transform,0.0001799855044565356,-0.12013363544965097,0.11983185366975174,False
Cosmic Power,8.958387152613788e-05,-0.12442685386114231,0.12515854250867828,False
Dig,1.5731960435059685e-05,-0.11884157961540479,0.1165624345190562,False
Recycle,-8.683122241735001e-05,-0.1275554876353186,0.12904302234437776,False
Comeuppance,-0.00020516212495729638,-0.1257242243283134,0.1251814940599694,False
Flying Press,-0.0002916449701809705,-0.1288499474814783,0.12781684420246014,False
Electro Ball,-0.0004791384047000552,-0.12572706686781102,0.11895836601576835,False
Nuzzle,-0.0005882017409202578,-0.12246964034381765,0.11915714122194176,False
String Shot,-0.0006218267135296736,-0.12405025449988133,0.12720623370115638,False
Iron Defense,-0.0007271069529920555,-0.11046151435164206,0.10892292525119247,False
King’s Shield,-0.0007384337921543268,-0.12183146337030157,0.12288087968579844,False
Dual Chop,-0.0007736765202369045,-0.12385458943824833,0.1235922582414044,False
Fly,-0.0008830273601136472,-0.12394713146954175,0.12324133622319616,False
Fickle Beam,-0.0008963029353581607,-0.1267005693360098,0.1208044873170269,False
Destiny Bond,-0.0010129020955515183,-0.12184804049907003,0.12100795622963782,False
Chilly Reception,-0.0010456038174972706,-0.11995979040084526,0.12043240590733265,False
Bug Buzz,-0.0011946355342749052,-0.11955139515189109,0.12034691891625553,False
Spikes,-0.00120322417625989,-0.12720424653093734,0.12695342517327132,False
