,mean,sd,q5,q95
Choice Scarf,0.03259821191419688,0.04097627247909499,-0.03405173961537113,0.09635537364475276
Focus Sash,0.032460624050227246,0.04755879195110875,-0.04692481456051383,0.1112382876631845
Altarianite,0.031420509605224974,0.21003933171719238,-0.31569901060819694,0.3809239159190763
staraptite,0.02844247350046163,0.18591850838190038,-0.2815191700221959,0.3320821987886576
froslassite,0.02840929773053814,0.24562912188575428,-0.36315095197983444,0.46297664262058885
Glalitite,0.028127282979251458,0.2583668247052188,-0.36854458849800603,0.4605052671878528
Mawilite,0.027519449071248564,0.06956518087057821,-0.08799004244184062,0.13979142788507212
Smooth Rock,0.026079514513785824,0.25507628377706476,-0.4042312051471864,0.44212599255608076
Raicunite Y,0.025889819881155178,0.25820347994152976,-0.4130783412677757,0.4657740710074004
Shed Shell,0.024080413580098093,0.24784863181476843,-0.36648591744481307,0.45571171588891984
Excadrite,0.023274144039408383,0.21833857394024245,-0.3431764795934192,0.37779501663662096
Scizorite,0.02013194061307961,0.15887098005424724,-0.24758458236562778,0.2683321457304039
eternal flower,0.016754415038044174,0.25411798822556597,-0.38927461308073075,0.4368134998093577
Staraptite,0.014036550500957963,0.06698540061811734,-0.09326947822789448,0.12245133802817297
Aggronite,0.013797292106782483,0.19532232710518327,-0.3203750445807118,0.34589969679158117
Chesnaughtite,0.011635725921956616,0.19582921840593143,-0.2928524545005472,0.340366802014949
Feraligite,0.005859762477732475,0.2292344208287331,-0.36334580323976606,0.39881134821079556
clefablite,0.0053480108565782235,0.2525935052838081,-0.40700722156569324,0.4275932603289955
Roseli Berry,0.005073058915169813,0.06158412261501361,-0.09787308232153144,0.10187850820720945
Heat Rock,0.0032897315084994576,0.16315821257443622,-0.2572116267990435,0.27387593133254556
chimechite,0.0027014232091346646,0.25207813963898335,-0.41770030767559146,0.4261156560404256
Assault Vest,0.0026616059244441172,0.2500530280393969,-0.414357855054608,0.3962178449881354
Rindo Berry,0.0006041598526660641,0.2429296502665494,-0.37055682890583136,0.390619037142893
Pidgeotite,-0.0002901177479536554,0.24043339140142667,-0.386054960746768,0.4038593893985931
Starminite,-0.00032003980342566073,0.17728217401733246,-0.2849466919171067,0.2863437304086376
Chimechite,-0.002744119480857081,0.2516785213785855,-0.4308386230342418,0.412556795599891
Delphoxite,-0.005033661181384558,0.07880617465265563,-0.1380726318544898,0.11989551242913211
Focus Band,-0.01015588713486629,0.19385205069333342,-0.3350921455994345,0.2905129226348195
Charcoal,-0.010512616748880897,0.07897655665543278,-0.13811371238711845,0.12023310379686442
Yache Berry,-0.011098814290824467,0.209305527989068,-0.33312442539562526,0.31610706168973635
Kasib Berry,-0.013187349314725382,0.06277820197843124,-0.11547706193965418,0.09380828083017521
Staraptornite,-0.014181309508548729,0.250314810121224,-0.4248062461698363,0.3764608270138203
Scraftinite,-0.018243195815257473,0.09226686849662574,-0.1661446812198378,0.13807493561263662
Audinite,-0.018755546012832188,0.2276590375319083,-0.4073942881876129,0.34593878283298257
Babiri Berry,-0.02262674048755767,0.17076896182157944,-0.2848871445036101,0.26461682239482304
Swampertite,-0.023030618298013596,0.09457728804292802,-0.17740455965527446,0.13186473364173776
King’s Rock,-0.02333734417904427,0.1922753429366856,-0.32938422873657186,0.29828373049843565
Dragon Fang,-0.02353880768401261,0.14509928126038332,-0.2647039707405212,0.2174023202694898
Manectite,-0.023739937378622216,0.23045876154765113,-0.41133186512103614,0.33477950904112047
Magnet,-0.027163352947842032,0.15644411629761162,-0.29617936952680496,0.2357627852106723
Damp Rock,-0.027641952204281513,0.11956300877558824,-0.22392174273919582,0.1650944891487527
Choice Craft,-0.028227143053818883,0.24738877476098306,-0.42805031387381437,0.3751259353162526
dragoninite,-0.03031115960755685,0.24198287056397275,-0.4332042864889854,0.35231125191195023
Victreebelite,-0.030382956861280876,0.2350611838010183,-0.43092448577084164,0.33840618380602816
Mega Charizard Y,-0.030976351219167003,0.24751656103032213,-0.43905409284434743,0.37426276468413194
Emboarite,-0.03137651348208708,0.23349438448227403,-0.41109104075454794,0.3821715997121297
Absolite,-0.0315216805759374,0.2550213339967603,-0.44820782775344026,0.3870648133169433
Mystic Water,-0.033379831204269246,0.06593927429368977,-0.1399892013961129,0.07388087995995248
Pixie Feather,-0.033483915278498484,0.2676955752677424,-0.45488892269555614,0.43799290973110844
Silver Powder,-0.034955478984319964,0.24900989938428755,-0.44238257169156836,0.371116044328932
Soft Sand,-0.037276208051406676,0.18569222023657417,-0.34136068566255334,0.26140782736183044
Charti Berry,-0.03905870197692637,0.21802817993462292,-0.37841352657127597,0.3193170301518657
Choice Specs,-0.04164535683654295,0.25900286573639436,-0.4575667614026853,0.3913903970959908
Galladite,-0.0424369297622912,0.266840074178143,-0.5027797481415287,0.3980601675081789
Metal Coat,-0.0438807452894917,0.10852613552036869,-0.21696119578590028,0.13435988049743197
Chandelurite,-0.045184214123413294,0.1655806567935127,-0.32144741558597384,0.21701555775220563
Beedrillite,-0.04586177859390236,0.22822393007559744,-0.4120344883910326,0.32587462899336905
Aerodactylite,-0.047117077923927865,0.07741982827710502,-0.1747361945088798,0.07885230353421797
Heracronite,-0.047130622303354866,0.23239657664974372,-0.4347302699716368,0.3280315855459622
Clear Amulet,-0.04923561794745927,0.25077773597594455,-0.4489026793955606,0.35390943011339454
Sceptilite,-0.0510323326352753,0.12037166512116737,-0.24108392991789038,0.14737726446814464
Gengarite,-0.051288467701157324,0.10102489853022473,-0.2219241978978418,0.11315219471796009
Clefablite,-0.05202008666967016,0.20082186472708163,-0.39581729560507223,0.26819039284240404
Houndoominite,-0.05244610940728215,0.25062564871883497,-0.47890580564781704,0.34683685902879297
Scope Lens,-0.05506293640985832,0.163999204028414,-0.3298590808072499,0.20636195800388232
Golurkite,-0.05544370845182152,0.1795998726143638,-0.3278163086727162,0.24096038784944723
Never-Melt Ice,-0.056656066720957854,0.11594355889613121,-0.2451230560262133,0.1275596222734318
Pixie Plate,-0.06162609318270671,0.2503077220767144,-0.4604758870194097,0.35231497042726506
Raichunite X,-0.0617300440119799,0.1372683350694481,-0.2806704073410757,0.17605798820590862
Zoom Lens,-0.0641470262273055,0.2325377418043463,-0.457766853098899,0.3128658162311445
Meowsticite,-0.06485087132020836,0.24283603866308315,-0.4548815387382808,0.32769742620772563
Iron Ball,-0.0694233554890009,0.14559462791810857,-0.3071175906034827,0.17050331052250337
Wide Lens,-0.07144910296031838,0.08731721007411723,-0.2118345020181302,0.08197979646352868
Skarmorite,-0.072196342682236,0.22889667068434644,-0.44580425869843493,0.3027685046899518
Ampharosite,-0.07530987115904543,0.19331761016595,-0.38482198520145683,0.25198709357639165
Chesto Berry,-0.07654308162661044,0.23541425970734353,-0.45106570720907985,0.29325095104166016
Light Ball,-0.07742995865690014,0.20790798650326506,-0.40433838871764577,0.2781210787021784
Alakazite,-0.0788612483494055,0.23271459319734822,-0.4680138497827573,0.31174493722110785
Meganiumite,-0.0794995713709739,0.13933695073839658,-0.30494593788030533,0.14752716313880737
Scolipite,-0.07955552763526215,0.2113037532917127,-0.4184069781867484,0.2687286551545368
Shuca Berry,-0.0846424226587514,0.12050803636321442,-0.2841715216211468,0.11949069323446079
Kebia Berry,-0.08720434609870585,0.19430248332989386,-0.4127432026283973,0.2323901088354855
Hawluchanite,-0.08724213879637918,0.21607121700630164,-0.46203436135060505,0.25793013813631044
Eelektrossite,-0.08945735876030352,0.11768899328315571,-0.2860928282250817,0.09499293794403377
Expert Belt,-0.09315243963322355,0.10458398753211823,-0.26397926898351665,0.07811918700597978
Mental Herb,-0.09319006890772201,0.08572586100008714,-0.23127833567981393,0.043784024218270594
Wise Glasses,-0.09379459271503268,0.16607640021470096,-0.3538793376287837,0.19722545966507044
Silk Scarf,-0.10493321881473058,0.1369032758279581,-0.3342476439995568,0.12446712869261328
Muscle Band,-0.11493648613838456,0.18812097530088254,-0.42159338799296886,0.19511887466319783
Metronome,-0.1177543808096622,0.22850653818947073,-0.4837063667291391,0.2692924209071893
Shell Bell,-0.11860130884500954,0.23470008459753794,-0.518565324583191,0.2561350630131517
Leftovers,-0.12077127770784452,0.05854272296187451,-0.21780196980522387,-0.017061734015841643
White Herb,-0.13036140543915703,0.05289327274887012,-0.2141412554243169,-0.04286762289416461
floettite,-0.13481005813944766,0.239618047251102,-0.5187873297086965,0.2687463445805136
Chople Berry,-0.13781609392767008,0.0505836725471633,-0.21985418531665088,-0.055207937057697706
Malamarite,-0.14039006693231695,0.21650059925947568,-0.5020907842103497,0.20099234700953572
Charizardite X,-0.17417044525133663,0.14462775188123475,-0.40518223989838326,0.07630167689964631
Big Root,-0.2119854691667194,0.19514811223624418,-0.5276139167026156,0.10563350451457787
Greninjite,-0.2160960426392964,0.20555905119842743,-0.5606135820229554,0.10746671174355144
Lum Berry,-0.2269102762360187,0.11863872095051414,-0.4161284162994245,-0.02965129727183299
Dragalgite,-0.275724371664158,0.15771016609414104,-0.529623919604736,-0.017985744404484416
Quick Claw,-0.31776018860982475,0.12439156646455977,-0.5202720227781614,-0.1224522805255785
Bright Powder,-0.4684831846877611,0.15184961348846723,-0.709240493312874,-0.22416998946356168
