,mean,sd,q5,q95
Intimidate,0.04483922183466962,0.04052204686883645,-0.02373117356285626,0.11456985031369449
Fire Mane,0.04399857937245633,0.21816877834908413,-0.30141400625121495,0.39632141157322437
Armor Tail,0.043939269737854544,0.062418437268332454,-0.05467423255236492,0.14694069061461779
Tough Claws,0.04272934036674178,0.08729778616564904,-0.09547668247922926,0.18592409131140195
Leaf Guard,0.042475244947007,0.16082002487606875,-0.2193479424377405,0.2964518310160643
Insomnia,0.04129064804530888,0.1971121429831377,-0.2794911027345809,0.3579718587166951
Imposter,0.03852260038857784,0.17313648558607975,-0.24908875735409697,0.3140254749176445
Shell Armor,0.03807444235588453,0.21349833783585945,-0.3015354543689316,0.3915940462773972
Natural Cure,0.03570003678846601,0.17159940786165812,-0.23914711969115945,0.31456688873122707
Eelevate,0.03559380173062314,0.2183562680107503,-0.3230486501752436,0.4028062074547833
Cud Chew,0.03553481403916131,0.20274840743260003,-0.28754138668677165,0.371154181405884
Shed Skin,0.03306379330095161,0.19469384105295884,-0.2883320891390959,0.35872914047265425
Shadow Tag,0.03136180461768859,0.21083285911426758,-0.3125285127982764,0.3765217300917025
Klutz,0.030118118440571835,0.23276447215065618,-0.35319182588080583,0.4083083598526195
Pressure,0.029382827954635732,0.11388849803115249,-0.1653193877246187,0.20838218019887786
Heatproof,0.02920350875127233,0.1980373386062497,-0.2895100917146287,0.34321749476086444
Vital Spirit,0.02913762381449664,0.22157604642129522,-0.3245536639844822,0.3938548728042874
Pure Power,0.028745656526073967,0.22560199234914177,-0.3351302561522743,0.40945165442932396
Rivalry,0.027983069945095078,0.18673669503485893,-0.2803039850880029,0.3173130679301256
Chlorophyll,0.026210530134386182,0.05764390601474044,-0.06718624826001524,0.11845504578685011
Screen Cleaner,0.02565455640857859,0.21227274518555822,-0.3292549589927276,0.3740925314181356
Mega Sol,0.025350271434591915,0.22722242812013102,-0.35829213912017543,0.40320077104110424
Gooey,0.024834675382279934,0.22165526586695933,-0.33250026422976553,0.3870948974905228
Big Pecks,0.023350662718228755,0.21992204796956322,-0.3471714999038193,0.38905594835231966
Fairy Aura,0.021684212231275667,0.1378721829289701,-0.21039252353800003,0.2454549541835587
Guts,0.0202876534342281,0.2099955564149676,-0.328656175249708,0.3896955685458782
Magic Guard,0.020053893273481057,0.17149677868692864,-0.2540982635204526,0.3030685626923836
Unseen Fist,0.013525115113007429,0.2245184300351634,-0.332171176517121,0.38334242144508646
Sand Stream,0.009612425792761699,0.07735777314342071,-0.11971220473818849,0.13274961638343122
Good as Gold,0.009610141578720817,0.0636103776289063,-0.09321634736478679,0.11545466201939726
Quick Draw,0.006404877740769528,0.2081554154475657,-0.3425540257943403,0.35087014624918855
Surge Surfer,0.0056446539618016,0.2255691099263899,-0.3392450353924876,0.39661758843117173
Merciless,0.005531176510116265,0.21111692760433812,-0.344498327934734,0.3544739978693609
Berserk,0.0045274547251099835,0.21524605029632046,-0.33439301125815835,0.36549555140603096
Plus,0.0022509473951888583,0.2185094994532971,-0.3404080486443181,0.3596688721192368
Rain Dish,0.002067251711771321,0.10770354074970377,-0.17939077160448527,0.18639159843316144
Bulletproof,0.0019486826216355147,0.17896277311249892,-0.2988276195932649,0.2823711780419106
Hustle,0.0013024775799437254,0.2340943304022281,-0.3778236775172835,0.3853262394332601
Unaware,0.0009167556371656882,0.12807084500749127,-0.20778023634012396,0.20254086264566984
Contrary,0.0008749239560984384,0.15270209296378717,-0.25733606071962156,0.2561184254983374
Liquid Voice,0.000255802491995028,0.11232297863831925,-0.18336449792904566,0.18206222059478305
Receiver,-0.0006722276169595187,0.22173089793469702,-0.3683463774265513,0.36557044115139153
Rough Skin,-0.0009635536598681799,0.05964597528380367,-0.10595127820906128,0.0950879575428324
Marvel Scale,-0.0018747690685145463,0.22351586965334538,-0.36202276252818893,0.35222755258413063
Spicy Spray,-0.002236446355584243,0.21986821591802222,-0.3593644576064133,0.3692056108930873
Hunger Switch,-0.002835475408444465,0.19972750083782684,-0.3182901985190457,0.32844452976586463
Drizzle,-0.0028951744836476752,0.0879131639986342,-0.1474946687164725,0.14396424055530613
Magician,-0.003478755161778823,0.19212605839969377,-0.3077275895148216,0.3055467301637536
Magma Armor,-0.004283169424822721,0.21796212151366942,-0.36365251904470647,0.33551863357768674
Weak Armor,-0.008151634311395976,0.2034749740075831,-0.34528443575103146,0.32902352019823433
Super Luck,-0.008437359003121732,0.23853373570729153,-0.39654587764405264,0.38811154816486193
Sand Force,-0.009218563803611756,0.23057253813119677,-0.3733071801619446,0.37764135173641866
Technician,-0.009545323556322179,0.10749824756515079,-0.17893973546623093,0.1700034147710253
Mold Breaker,-0.010195607517189407,0.15216099666927918,-0.25709547987152365,0.24852432149444847
Ice Body,-0.010751758427052161,0.23517782561032852,-0.38380192311866074,0.381872412208794
Defiant,-0.012734257110745766,0.05506477780248183,-0.10633291004808904,0.07965153016776791
Cheek Pouch,-0.013839607265341378,0.21646848615225725,-0.3688615113133827,0.3466698212354632
Early Bird,-0.014301164344309019,0.22845079451676306,-0.3639603648497231,0.3574439030829162
Poison Heal,-0.014729671727483575,0.2353545782380243,-0.4061980165855716,0.40490514743361655
White Smoke,-0.014882169933434,0.24117523299780733,-0.4138973728460674,0.37248000866428993
Compound Eyes,-0.01496099080130619,0.11193059689372085,-0.1928779176481279,0.16725388228082433
Sturdy,-0.015524420708263542,0.1394494537380856,-0.23193201281615505,0.20006526673032657
Gluttony,-0.016908887792424884,0.22869906689165823,-0.400405764162082,0.36496956467005626
Heavy Metal,-0.01785994968097088,0.22811044961133234,-0.3896715616658523,0.35905807355917935
Water Absorb,-0.018869743591729642,0.2135283774504106,-0.36190434690633794,0.3124763747738814
Speed Boost,-0.021269912508650388,0.07758690447076694,-0.1511324416383554,0.10641945706296785
Sniper,-0.021697648452439208,0.20615139510546868,-0.36377081342963663,0.3018333020442428
Earth Eater,-0.022242571136079095,0.1961058417509776,-0.3447989992420907,0.27309653507456494
Damp,-0.022297780946615785,0.09698652763052718,-0.18280133636858148,0.14099821246416794
Flash Fire,-0.023343996354582012,0.08565660468289867,-0.16093246915478676,0.11431283093809896
Dry Skin,-0.02425343154040275,0.19398955852124,-0.3309344410422194,0.29361094417245387
Cute Charm,-0.024814365410389342,0.15642120045976038,-0.27037239543915637,0.23257095124246194
Solar Power,-0.02499013689039943,0.0764809756165857,-0.1536061705810688,0.09646660829658056
Electromorphosis,-0.02707374097105391,0.18274561714892565,-0.33523104788149616,0.2634453555395836
Blaze,-0.029474577779727645,0.052462458099666806,-0.11784797694848691,0.05427701898693106
Cursed Body,-0.030308612804420685,0.06566901001713017,-0.13737381563241902,0.07858712321240977
Illusion,-0.031474544755390896,0.14405997972304424,-0.26809769578973086,0.21906671210141368
Shield Dust,-0.03282987968418293,0.2274710378895845,-0.39931792659053306,0.3323394867926925
Corrosion,-0.03308150556243749,0.21930832587984025,-0.3971075331171462,0.3220707080494127
