,mean,sd,q5,q95
Ice Hammer,0.10813669315857599,0.1812101796446833,-0.19071070227949893,0.3965146137783216
Aqua Jet,0.1076271355342806,0.05339531657768475,0.02386503363358498,0.19706669292949283
Skill Swap,0.10524656730849362,0.14798577888261616,-0.12410552235639416,0.34867063925703523
Feint,0.10523906822692751,0.10835880273380886,-0.07710961330946858,0.28072844331421193
Stockpile,0.10409730459486868,0.18540313765446648,-0.1905416825506055,0.4173973442970823
Spiky Shield,0.10398655984600932,0.10722042790316681,-0.06016677442387316,0.2838413474101087
Belly Drum,0.10343087912755335,0.14614488192273445,-0.13821567632568943,0.3473089526172235
Yawn,0.10140738051996927,0.07879479904191976,-0.02465768123811473,0.23364298749648865
Protect,0.10062060646937533,0.017349212633208527,0.0740384748470953,0.13077498192947506
Flash Cannon,0.10054288997088669,0.08508906782655934,-0.040226856701585025,0.23769101510490998
Aura Sphere,0.09661822806805892,0.07220404297511841,-0.03029668159762399,0.214197444623847
Armor Cannon,0.09639859638764012,0.19988518833511673,-0.22800509493032295,0.44017601696031505
Fling,0.09609674746067483,0.21145648969096015,-0.26634666569134335,0.4277663635142873
Nasty Plot,0.09521552108759046,0.051741283806848684,0.0121732895752572,0.17940727403578563
Mortal Spin,0.09349884307552703,0.19944694133024782,-0.24062849402355957,0.4055106232441879
Rage Powder,0.09335740955428762,0.05601267210599011,0.0006114009772676845,0.1873500248290693
Pain Split,0.09065850038945535,0.18584863874200422,-0.21066316918032177,0.39709162331846826
Shadow Sneak,0.09060597762481243,0.08625257035172862,-0.05265393470824099,0.2286326904893696
Fissure,0.08896278210629692,0.16866321814796714,-0.18601812141277546,0.36058621480350384
Super Fang,0.08807821126290591,0.08359735846958966,-0.04562204117600402,0.21937433585962424
Heat Wave,0.0879959637508149,0.04821065769683059,0.007848733341107595,0.1666606309184047
Water Pulse,0.08724335598947362,0.15805758540273115,-0.17556867844505109,0.34483228116033865
Fake Out,0.08675710890277913,0.03268632621355256,0.030894474491782786,0.13703571869968983
Upper Hand,0.08650404368907934,0.17949172157053064,-0.22822697830897903,0.3707645151765146
Drill Run,0.08638832052078502,0.19533188887292374,-0.24131032440067685,0.39577365413564985
Icicle Crash,0.08496690260294247,0.11827902658300422,-0.12058287528437057,0.27617178731335795
Reflect,0.08094865373667191,0.07376576451233709,-0.03444366438280072,0.21125189657897428
Quiver Dance,0.08066457919990225,0.17222220654930834,-0.1997998267005553,0.35785016459540453
Chilling Water,0.08034154386826381,0.203897076560328,-0.2610150626749959,0.40660733350401046
Power Whip,0.07844708828481675,0.12694845538894703,-0.13081265719891683,0.2956019031652987
Parting Shot,0.07827929510938199,0.04363891205368701,0.006828174362660152,0.14858857916964166
Struggle Bug,0.07710627046018705,0.1912620514322493,-0.2320096233421011,0.384941034411516
Cross Poison,0.07688369273352047,0.21022769049765552,-0.2849279827254257,0.40434124590253345
Barb Barrage,0.07671977989007649,0.19532984791346641,-0.23223763448134982,0.40443638237964663
Final Gambit,0.07669245000332847,0.10723822968154757,-0.09970394045902332,0.24575828008782713
Sucker Punch,0.0753878027584993,0.04843818663639966,-0.002649670781647066,0.15737165956529803
Hypnosis,0.07266040270307295,0.0981477465371974,-0.0871682398578801,0.2280728764276721
Ancient Power,0.0719883536231633,0.11555255856515954,-0.119077646204006,0.2672265098846561
Psychic Fangs,0.07115546156767028,0.058640362586094785,-0.024187487565224545,0.16635940167120827
Howl,0.07001968427882879,0.18649126740228403,-0.22882933011408496,0.3788071082350014
Zap Cannon,0.06914714886122804,0.06837757565173502,-0.04205334276419221,0.18248893334622215
Memento,0.06896132446987108,0.21408307150636408,-0.2984654470392546,0.4023989962637033
Frost Breath,0.06828105079669997,0.19408406781090148,-0.25484591646583704,0.38671941360753764
Mud Shot,0.0656147710916261,0.20740124048172695,-0.27890799864334853,0.41287138889275793
Fell Stinger,0.06452375181596351,0.2161528127316478,-0.29674807265217007,0.43290816174885904
Grassy Terrain,0.06428208552228361,0.216712230914821,-0.2957584926742284,0.4132898793967534
Scald,0.06427402722383609,0.09476864676037157,-0.09014295949758823,0.21216810356885124
Bitter Malice,0.06370691038792657,0.1620301476934432,-0.1890997470391663,0.34536730375045605
Roar,0.06336771375732018,0.09178860521499593,-0.07957738511394968,0.21759449483222792
Crabhammer,0.06335782286201347,0.2162634982334752,-0.30212463784426474,0.4155488652568693
Moonlight,0.06209087816742871,0.1808536503755515,-0.23031476831007577,0.35261444363459404
Extreme Speed,0.062011808315147805,0.09005908247150618,-0.089315962490135,0.21415754493875203
Leaf Storm,0.06049961343447265,0.08802363271206001,-0.08270408209687446,0.20583095331405912
Heat Crash,0.0579283224433278,0.19147002731834004,-0.24270546722730355,0.3811674866650781
Tidy Up,0.057350554845896094,0.2145138215577246,-0.29087372440918235,0.40793625215398016
Salt Cure,0.05652932643753628,0.2179674602566332,-0.28478216859313416,0.4285080235727054
Hammer Arm,0.05511731345106856,0.11267398693309817,-0.13000622008545035,0.2312084866257624
Round,0.05502269447454035,0.10746415774864504,-0.12412398042116382,0.229441346576561
No Retreat,0.054924948579383556,0.19843767359311099,-0.267210196035791,0.3812013662662688
Make It Rain,0.05486863362607057,0.05905769862424427,-0.04118054351932228,0.14884373018832575
Diamond Storm,0.0544826451500622,0.21949211754809286,-0.29166078179388666,0.40997743613596105
Curse,0.05367449599848069,0.1921367658517937,-0.2718466907505658,0.37683930282647166
Triple Arrows,0.053550787418694894,0.18075753320672538,-0.2528854824556576,0.344685456088176
